time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000014,N,-86.777,7
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000015,N,-70.166,10
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000016,N,-95.441,23
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000017,N,-77.755,18
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000018,N,-85.063,14
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000019,N,-85.543,13
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000020,N,-95.018,15
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000021,N,-100.287,27
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000022,N,-88.214,23
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000023,N,-100.093,20
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000024,N,-104.937,20
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,001-01-0000025,N,-96.912,21
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000001,N,-49.867,5
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000002,N,-64.556,8
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000003,N,-79.402,14
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000004,N,-89.541,19
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000005,N,-111.133,26
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000006,S,-27.109,1
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000007,N,-53.67,6
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000008,N,-67.549,12
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000009,N,-92.951,18
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000010,N,-89.84,25
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000011,N,-67.443,7
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000012,N,-87.918,9
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000013,N,-81.755,14
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000014,N,-80.444,20
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000015,N,-87.342,26
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000016,N,-91.257,13
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000017,N,-90.631,14
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000018,N,-81.052,18
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000019,N,-86.264,23
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000020,N,-112.913,28
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000021,N,-108.545,19
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000022,N,-90.145,20
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000023,N,-96.244,23
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000024,N,-96.509,27
1.0,5,-16.32,480.16,2.0,62.47,485.63,2.0,001-01-0000025,N,-100.084,31
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000001,N,-97.732,29
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000002,N,-92.72,23
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000003,N,-80.648,18
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000004,N,-90.707,13
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000005,N,-83.621,10
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000006,N,-102.486,28
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000007,N,-79.024,21
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000008,N,-90.463,15
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000009,N,-77.534,9
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000010,S,-67.522,4
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000011,N,-97.192,28
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000012,N,-96.381,21
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000013,N,-81.074,15
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000014,N,-84.504,9
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000015,N,-72.347,4
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000016,N,-100.001,29
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000017,N,-98.181,23
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000018,N,-97.936,18
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000019,N,-84.451,13
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000020,N,-90.761,10
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000021,N,-83.135,32
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000022,N,-105.886,26
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000023,N,-95.857,22
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000024,N,-90.818,18
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,001-01-0000025,N,-72.228,16
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,001-01-0000001,N,-90.033,33
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,001-01-0000002,N,-90.396,29
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,001-01-0000003,N,-83.874,26
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,001-01-0000004,N,-93.364,24
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,001-01-0000005,N,-90.886,23
