time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
3.0,142,2011.94,1038.05,2.0,1942.15,978.16,2.0,91.97
3.0,143,2197.72,1313.76,2.0,1991.02,1385.53,2.0,218.8
3.0,144,-190.63,91.38,2.0,-300.65,41.24,2.0,120.9
3.0,145,1927.96,2207.67,2.0,2326.45,1906.26,2.0,499.64
3.0,146,-209.68,1577.69,2.0,-500.0,1953.64,2.0,475.0
3.0,148,828.42,819.63,2.0,1063.64,960.3,2.0,274.07
3.0,149,1210.84,2209.28,2.0,1101.4,2052.49,2.0,191.21
3.0,150,385.0,2099.97,2.0,256.45,2160.54,2.0,142.1
3.0,151,2207.91,520.77,2.0,2379.77,367.19,2.0,230.49
3.0,152,1923.4,1808.01,2.0,1942.91,2080.44,2.0,273.13
3.0,153,1556.96,1654.45,2.0,1374.95,1608.84,2.0,187.64
3.0,154,453.97,2105.73,2.0,642.25,2004.09,2.0,213.96
3.0,157,1579.78,90.39,2.0,1552.81,24.08,2.0,71.58
3.0,158,1209.35,1420.19,2.0,1277.75,1450.42,2.0,74.78
3.0,159,1793.96,-104.19,2.0,2198.9,-500.0,2.0,566.26
3.0,160,1449.47,2206.94,2.0,1250.6,2029.55,2.0,266.49
3.0,161,36.02,2030.88,2.0,-124.52,1832.65,2.0,255.08
3.0,162,956.21,2172.62,2.0,819.35,2500.0,2.0,354.83
3.0,163,1654.53,242.57,2.0,1444.01,-103.18,2.0,404.8
3.0,165,1240.01,-3.88,2.0,1124.79,-477.05,2.0,486.99
3.0,166,2089.02,1255.75,2.0,2387.31,1323.93,2.0,305.98
3.0,167,1007.07,867.92,2.0,922.19,748.32,2.0,146.66
3.0,168,1038.02,961.45,2.0,809.23,731.75,2.0,324.2
3.0,169,1199.6,716.42,2.0,1356.28,677.54,2.0,161.44
3.0,170,383.41,1502.31,2.0,166.85,1598.1,2.0,236.8
3.0,171,2071.66,-32.18,2.0,2259.51,-344.19,2.0,364.19
3.0,173,1618.34,335.95,2.0,1534.8,-132.5,2.0,475.84
3.0,174,992.33,8.69,2.0,1096.84,-203.56,2.0,236.58
3.0,175,923.59,949.27,2.0,1110.08,755.52,2.0,268.92
3.0,176,2196.96,991.89,2.0,2337.21,1027.41,2.0,144.68
3.0,177,-139.51,1167.02,2.0,-415.45,861.46,2.0,411.72
3.0,178,1060.68,1630.93,2.0,758.27,1561.23,2.0,310.34
3.0,179,2143.47,446.15,2.0,1690.81,-8.14,2.0,641.32
3.0,180,1010.59,1861.86,2.0,887.51,2005.7,2.0,189.31
3.0,181,158.12,1967.84,2.0,163.73,2139.49,2.0,171.74
3.0,182,111.83,1693.67,2.0,55.5,1543.69,2.0,160.2
3.0,183,295.16,1444.15,2.0,367.37,1655.48,2.0,223.33
3.0,184,1075.83,182.44,2.0,347.05,274.82,2.0,734.61
3.0,185,1277.12,1036.0,2.0,1397.47,860.46,2.0,212.84
3.0,186,807.6,1245.22,2.0,692.94,1799.91,2.0,566.41
3.0,187,1452.4,2140.51,2.0,1169.1,2293.4,2.0,321.92
3.0,188,1613.45,33.69,2.0,1634.72,64.19,2.0,37.18
3.0,189,-145.24,-166.14,2.0,-80.46,-36.8,2.0,144.66
3.0,191,1883.91,2113.35,2.0,1621.9,2143.6,2.0,263.76
3.0,192,945.06,1271.63,2.0,867.37,1009.74,2.0,273.16
3.0,193,-130.08,464.32,2.0,-213.31,387.36,2.0,113.36
3.0,194,1251.76,372.76,2.0,1438.07,274.75,2.0,210.51
3.0,195,1246.48,-62.21,2.0,1153.97,-230.45,2.0,192.0
3.0,196,2105.78,2057.54,2.0,2500.0,2079.78,2.0,394.84
3.0,197,1048.98,697.38,2.0,566.34,-174.64,2.0,996.67
3.0,198,1127.69,1189.23,2.0,1346.51,1304.43,2.0,247.29
3.0,200,1843.47,2095.21,2.0,1546.89,2176.63,2.0,307.55
7.0,1,-164.72,1637.54,2.0,-182.24,1415.79,2.0,222.44
7.0,3,1622.49,1773.99,2.0,1732.03,1672.97,2.0,149.01
7.0,4,1361.1,450.74,2.0,1318.56,526.03,2.0,86.48
7.0,6,2130.62,776.86,2.0,2500.0,399.93,2.0,527.75
7.0,7,1869.71,1807.0,2.0,2206.64,1571.74,2.0,410.94
7.0,8,1444.25,603.47,2.0,1398.61,-56.07,2.0,661.12
7.0,10,782.14,2139.58,2.0,755.27,1964.98,2.0,176.65
7.0,11,1775.42,998.23,2.0,1564.04,801.93,2.0,288.47
7.0,12,-14.91,136.03,2.0,-304.12,28.6,2.0,308.52
7.0,14,13.15,1238.41,2.0,-404.26,1255.89,2.0,417.78
7.0,15,1908.5,1389.35,2.0,2069.42,1355.26,2.0,164.49
7.0,17,-169.37,448.71,2.0,-500.0,324.59,2.0,353.16
7.0,18,-21.98,1900.19,2.0,-161.53,2383.63,2.0,503.18
7.0,19,303.73,1152.78,2.0,-43.26,807.92,2.0,489.22
7.0,21,1260.36,-27.89,2.0,1447.92,-254.74,2.0,294.35
7.0,23,1347.18,-215.54,2.0,935.89,-465.73,2.0,481.41
7.0,24,177.57,1215.41,2.0,303.37,1127.03,2.0,153.74
7.0,25,2123.14,1641.53,2.0,2147.31,1394.41,2.0,248.3
7.0,26,381.48,2073.73,2.0,444.64,2172.96,2.0,117.62
7.0,29,2042.06,1712.29,2.0,2098.64,1798.38,2.0,103.02
7.0,30,1472.9,-68.17,2.0,1348.27,-242.24,2.0,214.09
7.0,32,1970.46,2095.26,2.0,1727.47,2488.4,2.0,462.17
7.0,34,798.4,1456.52,2.0,633.43,1272.66,2.0,247.02
7.0,35,1688.42,1370.16,2.0,1611.85,1147.32,2.0,235.63
7.0,36,117.49,2009.2,2.0,-248.97,1827.89,2.0,408.86
7.0,37,622.32,427.36,2.0,457.55,166.49,2.0,308.55
7.0,38,832.09,184.06,2.0,295.2,299.16,2.0,549.09
7.0,39,1835.3,1578.44,2.0,1743.39,1501.34,2.0,119.96
7.0,40,433.4,413.96,2.0,402.27,311.29,2.0,107.29
7.0,41,784.75,8.39,2.0,731.12,-10.12,2.0,56.74
7.0,42,1.79,218.16,2.0,-500.0,-70.27,2.0,578.78
7.0,43,1950.18,943.43,2.0,2106.91,661.95,2.0,322.17
7.0,44,365.78,1159.45,2.0,67.28,792.37,2.0,473.13
7.0,45,1517.41,163.49,2.0,1597.31,-315.14,2.0,485.25
7.0,46,2149.63,1858.12,2.0,2500.0,1742.82,2.0,368.85
