timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
3.0,123,2415.3,596.23,2.0,1774.46,1230.65,2.0,-59.655,001-01-0000001,0.999778
3.0,124,346.68,1979.31,2.0,375.32,2185.84,2.0,-74.985,001-01-0000001,0.873699
3.0,125,630.08,1386.25,2.0,587.25,1399.32,2.0,-57.738,001-01-0000001,0.99723
3.0,127,283.9,2357.57,2.0,573.0,2200.63,2.0,-78.877,001-01-0000001,0.837441
3.0,128,-254.74,70.37,2.0,27.45,409.87,2.0,-46.266,001-01-0000001,0.702269
3.0,129,961.39,1349.74,2.0,1124.97,1360.3,2.0,-62.45,001-01-0000001,0.990903
3.0,130,2500.0,2125.45,2.0,2151.01,2133.69,2.0,-93.659,001-01-0000001,0.310382
3.0,131,1561.01,-473.58,2.0,1870.05,-65.69,2.0,-73.895,001-01-0000001,0.794871
3.0,133,154.45,1576.54,2.0,470.12,1797.02,2.0,-61.962,001-01-0000001,0.990114
3.0,135,-26.53,847.0,2.0,253.56,803.92,2.0,-70.114,001-01-0000001,0.406021
3.0,136,1812.5,859.69,2.0,1890.59,975.01,2.0,-83.388,001-01-0000001,0.458617
3.0,137,189.89,-341.73,2.0,76.17,-28.1,2.0,-54.721,001-01-0000001,0.585113
3.0,138,-298.39,1361.93,2.0,-203.66,1959.82,2.0,-72.22,001-01-0000001,0.757103
3.0,139,1880.38,2202.36,2.0,1601.88,1967.51,2.0,-76.067,001-01-0000001,0.963306
3.0,140,1132.38,233.8,2.0,1321.15,386.82,2.0,-84.291,001-01-0000001,0.000203
3.0,141,2500.0,1228.71,2.0,1860.21,1169.51,2.0,-68.613,001-01-0000001,0.995966
3.0,142,1942.15,978.16,2.0,2011.94,1038.05,2.0,-86.877,001-01-0000001,0.314562
3.0,143,1991.02,1385.53,2.0,2197.72,1313.76,2.0,-77.698,001-01-0000001,0.883575
3.0,144,-300.65,41.24,2.0,-190.63,91.38,2.0,-43.307,001-01-0000001,0.896141
3.0,145,2326.45,1906.26,2.0,1927.96,2207.67,2.0,-74.727,001-01-0000001,0.979383
3.0,146,-500.0,1953.64,2.0,-209.68,1577.69,2.0,-79.965,001-01-0000001,0.672121
3.0,148,1063.64,960.3,2.0,828.42,819.63,2.0,-59.744,001-01-0000001,0.991875
3.0,149,1101.4,2052.49,2.0,1210.84,2209.28,2.0,-83.317,001-01-0000001,0.61608
3.0,150,256.45,2160.54,2.0,385.0,2099.97,2.0,-85.272,001-01-0000001,0.42162
3.0,151,2379.77,367.19,2.0,2207.91,520.77,2.0,-90.406,001-01-0000001,0.197968
3.0,152,1942.91,2080.44,2.0,1923.4,1808.01,2.0,-79.61,001-01-0000001,0.901055
3.0,153,1374.95,1608.84,2.0,1556.96,1654.45,2.0,-81.299,001-01-0000001,0.64203
3.0,154,642.25,2004.09,2.0,453.97,2105.73,2.0,-82.976,001-01-0000001,0.535882
3.0,157,1552.81,24.08,2.0,1579.78,90.39,2.0,-80.203,001-01-0000001,0.392591
3.0,158,1277.75,1450.42,2.0,1209.35,1420.19,2.0,-76.78,001-01-0000001,0.790246
3.0,159,2198.9,-500.0,2.0,1793.96,-104.19,2.0,-71.235,001-01-0000001,0.970395
3.0,160,1250.6,2029.55,2.0,1449.47,2206.94,2.0,-69.574,001-01-0000001,0.986547
3.0,161,-124.52,1832.65,2.0,36.02,2030.88,2.0,-75.953,001-01-0000001,0.790023
3.0,162,819.35,2500.0,2.0,956.21,2172.62,2.0,-84.819,001-01-0000001,0.643907
3.0,163,1444.01,-103.18,2.0,1654.53,242.57,2.0,-64.996,001-01-0000001,0.960646
3.0,165,1124.79,-477.05,2.0,1240.01,-3.88,2.0,-64.334,001-01-0000001,0.930941
3.0,166,2387.31,1323.93,2.0,2089.02,1255.75,2.0,-79.331,001-01-0000001,0.891227
3.0,167,922.19,748.32,2.0,1007.07,867.92,2.0,-55.097,001-01-0000001,0.995331
3.0,168,809.23,731.75,2.0,1038.02,961.45,2.0,-66.551,001-01-0000001,0.824452
3.0,169,1356.28,677.54,2.0,1199.6,716.42,2.0,-71.465,001-01-0000001,0.840358
3.0,170,166.85,1598.1,2.0,383.41,1502.31,2.0,-78.325,001-01-0000001,0.551294
3.0,171,2259.51,-344.19,2.0,2071.66,-32.18,2.0,-80.596,001-01-0000001,0.743106
3.0,173,1534.8,-132.5,2.0,1618.34,335.95,2.0,-56.288,001-01-0000001,0.998532
3.0,174,1096.84,-203.56,2.0,992.33,8.69,2.0,-61.335,001-01-0000001,0.953647
3.0,175,1110.08,755.52,2.0,923.59,949.27,2.0,-58.917,001-01-0000001,0.991202
3.0,176,2337.21,1027.41,2.0,2196.96,991.89,2.0,-101.083,001-01-0000001,0.078385
3.0,177,-415.45,861.46,2.0,-139.51,1167.02,2.0,-57.257,001-01-0000001,0.970183
3.0,178,758.27,1561.23,2.0,1060.68,1630.93,2.0,-62.631,001-01-0000001,0.992519
3.0,179,1690.81,-8.14,2.0,2143.47,446.15,2.0,-83.37,001-01-0000001,0.275642
3.0,180,887.51,2005.7,2.0,1010.59,1861.86,2.0,-71.143,001-01-0000001,0.967132
3.0,181,163.73,2139.49,2.0,158.12,1967.84,2.0,-80.502,001-01-0000001,0.697196
3.0,182,55.5,1543.69,2.0,111.83,1693.67,2.0,-93.846,001-01-0000001,0.122084
3.0,183,367.37,1655.48,2.0,295.16,1444.15,2.0,-74.788,001-01-0000001,0.784256
3.0,184,347.05,274.82,2.0,1075.83,182.44,2.0,-63.765,001-01-0000001,0.142727
3.0,185,1397.47,860.46,2.0,1277.12,1036.0,2.0,-67.788,001-01-0000001,0.951704
3.0,186,692.94,1799.91,2.0,807.6,1245.22,2.0,-76.205,001-01-0000001,0.811419
3.0,187,1169.1,2293.4,2.0,1452.4,2140.51,2.0,-86.399,001-01-0000001,0.527418
3.0,188,1634.72,64.19,2.0,1613.45,33.69,2.0,-74.485,001-01-0000001,0.772294
3.0,189,-80.46,-36.8,2.0,-145.24,-166.14,2.0,-48.609,001-01-0000001,0.171041
3.0,191,1621.9,2143.6,2.0,1883.91,2113.35,2.0,-71.762,001-01-0000001,0.985527
3.0,192,867.37,1009.74,2.0,945.06,1271.63,2.0,-67.104,001-01-0000001,0.90328
3.0,193,-213.31,387.36,2.0,-130.08,464.32,2.0,-61.845,001-01-0000001,0.253134
3.0,194,1438.07,274.75,2.0,1251.76,372.76,2.0,-74.061,001-01-0000001,0.707378
3.0,195,1153.97,-230.45,2.0,1246.48,-62.21,2.0,-70.835,001-01-0000001,0.689921
3.0,196,2500.0,2079.78,2.0,2105.78,2057.54,2.0,-87.749,001-01-0000001,0.673109
3.0,197,566.34,-174.64,2.0,1048.98,697.38,2.0,-52.142,001-01-0000001,0.93748
3.0,198,1346.51,1304.43,2.0,1127.69,1189.23,2.0,-64.758,001-01-0000001,0.989962
3.0,200,1546.89,2176.63,2.0,1843.47,2095.21,2.0,-90.92,001-01-0000001,0.269985
7.0,1,-182.24,1415.79,2.0,-164.72,1637.54,2.0,-87.882,001-01-0000001,6e-06
7.0,3,1732.03,1672.97,2.0,1622.49,1773.99,2.0,-70.91,001-01-0000001,0.980531
7.0,4,1318.56,526.03,2.0,1361.1,450.74,2.0,-72.821,001-01-0000001,0.743089
7.0,6,2500.0,399.93,2.0,2130.62,776.86,2.0,-87.25,001-01-0000001,0.454555
7.0,7,2206.64,1571.74,2.0,1869.71,1807.0,2.0,-86.817,001-01-0000001,0.553639
7.0,8,1398.61,-56.07,2.0,1444.25,603.47,2.0,-68.243,001-01-0000001,0.895737
7.0,10,755.27,1964.98,2.0,782.14,2139.58,2.0,-86.985,001-01-0000001,0.273295
7.0,11,1564.04,801.93,2.0,1775.42,998.23,2.0,-82.196,001-01-0000001,0.394453
7.0,12,-304.12,28.6,2.0,-14.91,136.03,2.0,-45.635,001-01-0000001,0.830509
7.0,14,-404.26,1255.89,2.0,13.15,1238.41,2.0,-62.557,001-01-0000001,0.969756
7.0,15,2069.42,1355.26,2.0,1908.5,1389.35,2.0,-76.89,001-01-0000001,0.91066
7.0,17,-500.0,324.59,2.0,-169.37,448.71,2.0,-73.324,001-01-0000001,0.000701
7.0,18,-161.53,2383.63,2.0,-21.98,1900.19,2.0,-76.262,001-01-0000001,0.911943
7.0,19,-43.26,807.92,2.0,303.73,1152.78,2.0,-71.843,001-01-0000001,0.243854
7.0,21,1447.92,-254.74,2.0,1260.36,-27.89,2.0,-67.999,001-01-0000001,0.918872
7.0,23,935.89,-465.73,2.0,1347.18,-215.54,2.0,-71.746,001-01-0000001,0.523646
7.0,24,303.37,1127.03,2.0,177.57,1215.41,2.0,-83.425,001-01-0000001,0.008687
7.0,25,2147.31,1394.41,2.0,2123.14,1641.53,2.0,-82.891,001-01-0000001,0.722043
7.0,26,444.64,2172.96,2.0,381.48,2073.73,2.0,-74.67,001-01-0000001,0.919728
7.0,29,2098.64,1798.38,2.0,2042.06,1712.29,2.0,-82.134,001-01-0000001,0.809331
7.0,30,1348.27,-242.24,2.0,1472.9,-68.17,2.0,-74.44,001-01-0000001,0.628222
7.0,32,1727.47,2488.4,2.0,1970.46,2095.26,2.0,-87.984,001-01-0000001,0.593769
7.0,34,633.43,1272.66,2.0,798.4,1456.52,2.0,-71.266,001-01-0000001,0.809836
7.0,35,1611.85,1147.32,2.0,1688.42,1370.16,2.0,-68.996,001-01-0000001,0.971272
7.0,36,-248.97,1827.89,2.0,117.49,2009.2,2.0,-65.66,001-01-0000001,0.985318
7.0,37,457.55,166.49,2.0,622.32,427.36,2.0,-40.712,001-01-0000001,0.995056
7.0,38,295.2,299.16,2.0,832.09,184.06,2.0,-60.967,001-01-0000001,0.256272
7.0,39,1743.39,1501.34,2.0,1835.3,1578.44,2.0,-84.248,001-01-0000001,0.547444
7.0,40,402.27,311.29,2.0,433.4,413.96,2.0,-35.941,001-01-0000001,0.999421
7.0,41,731.12,-10.12,2.0,784.75,8.39,2.0,-69.893,001-01-0000001,0.262582
