time_sec,imsi,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,ecgi,cell_role,rsrp_dbm,timing_advance
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000005,N,-82.869,13
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000006,N,-73.555,23
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000007,N,-77.508,17
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000008,N,-78.29,11
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000009,N,-60.816,7
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000010,N,-75.583,7
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000011,N,-106.219,23
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000012,N,-93.861,16
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000013,N,-76.566,10
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000014,N,-62.351,3
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000015,S,-52.069,3
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000016,N,-93.079,24
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000017,N,-81.274,18
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000018,N,-68.919,12
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000019,N,-74.579,8
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000020,N,-68.762,7
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000021,N,-107.808,26
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000022,N,-91.081,21
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000023,N,-96.024,16
1.0,11,2000.44,842.71,2.0,1764.9,970.34,2.0,001-01-0000024,N,-81.943,14
