time_sec,imsi,ue_x,ue_y,ue_z,cell_id,ecgi,cell_role,rsrp_dbm,rsrq_db,snr_db,timing_advance
1.000,6,2153.655,762.622,2.000,6,001-01-0000006,N,-102.486,-23.700,-39.569,28
1.000,6,2153.655,762.622,2.000,7,001-01-0000007,N,-79.024,2.602,-13.829,21
1.000,6,2153.655,762.622,2.000,8,001-01-0000008,N,-90.463,-11.782,-23.661,15
1.000,6,2153.655,762.622,2.000,9,001-01-0000009,N,-77.534,2.663,-10.512,9
1.000,6,2153.655,762.622,2.000,10,001-01-0000010,S,-67.522,8.125,-2.193,4
1.000,6,2153.655,762.622,2.000,11,001-01-0000011,N,-97.192,-20.157,-35.158,28
1.000,6,2153.655,762.622,2.000,12,001-01-0000012,N,-96.381,-19.777,-34.022,21
1.000,6,2153.655,762.622,2.000,13,001-01-0000013,N,-81.074,-2.054,-15.128,15
1.000,6,2153.655,762.622,2.000,14,001-01-0000014,N,-84.504,-6.159,-21.371,9
1.000,6,2153.655,762.622,2.000,15,001-01-0000015,N,-72.347,8.552,-7.500,4
1.000,6,2153.655,762.622,2.000,16,001-01-0000016,N,-100.001,-19.778,-37.339,29
1.000,6,2153.655,762.622,2.000,17,001-01-0000017,N,-98.181,-19.006,-29.784,23
1.000,6,2153.655,762.622,2.000,18,001-01-0000018,N,-97.936,-24.805,-35.530,18
1.000,6,2153.655,762.622,2.000,19,001-01-0000019,N,-84.451,-4.915,-16.401,13
1.000,6,2153.655,762.622,2.000,20,001-01-0000020,N,-90.761,-12.006,-26.233,10
1.000,6,2153.655,762.622,2.000,21,001-01-0000021,N,-83.135,-1.566,-14.886,32
1.000,6,2153.655,762.622,2.000,22,001-01-0000022,N,-105.886,-29.274,-40.000,26
1.000,6,2153.655,762.622,2.000,23,001-01-0000023,N,-95.857,-16.789,-26.330,22
1.000,6,2153.655,762.622,2.000,24,001-01-0000024,N,-90.818,-10.738,-26.750,18
1.000,6,2153.655,762.622,2.000,25,001-01-0000025,N,-72.228,6.560,-12.735,16
1.000,7,1875.028,1819.112,2.000,26,001-01-0000001,N,-84.726,-15.736,-31.278,27
1.000,7,1875.028,1819.112,2.000,2,001-01-0000002,N,-90.396,-25.799,-33.947,29
1.000,7,1875.028,1819.112,2.000,3,001-01-0000003,N,-83.874,-17.422,-32.440,26
1.000,7,1875.028,1819.112,2.000,4,001-01-0000004,N,-93.364,-24.559,-40.000,24
1.000,7,1875.028,1819.112,2.000,5,001-01-0000005,N,-90.886,-21.753,-30.056,23
1.000,7,1875.028,1819.112,2.000,6,001-01-0000006,N,-99.500,-31.369,-40.000,29
1.000,7,1875.028,1819.112,2.000,7,001-01-0000007,N,-101.814,-32.562,-40.000,24
1.000,7,1875.028,1819.112,2.000,8,001-01-0000008,N,-94.420,-25.484,-38.563,20
1.000,7,1875.028,1819.112,2.000,9,001-01-0000009,N,-101.814,-32.996,-40.000,18
1.000,7,1875.028,1819.112,2.000,10,001-01-0000010,N,-79.381,-10.109,-19.665,17
1.000,7,1875.028,1819.112,2.000,11,001-01-0000011,N,-111.191,-40.000,-40.000,26
1.000,7,1875.028,1819.112,2.000,12,001-01-0000012,N,-73.525,-2.903,-17.142,20
1.000,7,1875.028,1819.112,2.000,13,001-01-0000013,N,-99.174,-31.002,-40.000,15
1.000,7,1875.028,1819.112,2.000,14,001-01-0000014,N,-68.402,-1.256,-13.974,12
1.000,7,1875.028,1819.112,2.000,15,001-01-0000015,N,-86.300,-18.954,-29.660,11
1.000,7,1875.028,1819.112,2.000,16,001-01-0000016,N,-88.111,-16.844,-32.530,24
1.000,7,1875.028,1819.112,2.000,17,001-01-0000017,N,-93.751,-24.712,-40.000,18
1.000,7,1875.028,1819.112,2.000,18,001-01-0000018,N,-67.555,-0.071,-15.982,12
1.000,7,1875.028,1819.112,2.000,19,001-01-0000019,N,-70.200,-5.665,-16.334,6
1.000,7,1875.028,1819.112,2.000,20,001-01-0000020,S,-56.060,12.232,11.696,4
1.000,7,1875.028,1819.112,2.000,21,001-01-0000021,N,-91.834,-19.819,-35.257,24
1.000,7,1875.028,1819.112,2.000,22,001-01-0000022,N,-84.619,-11.562,-25.533,18
1.000,7,1875.028,1819.112,2.000,23,001-01-0000023,N,-75.338,-10.465,-17.187,11
1.000,7,1875.028,1819.112,2.000,24,001-01-0000024,N,-72.047,-1.736,-17.922,5
1.000,7,1875.028,1819.112,2.000,25,001-01-0000025,N,-67.696,-1.638,-10.766,3
1.000,8,1424.182,553.631,2.000,26,001-01-0000001,N,-59.681,-5.883,-12.577,14
1.000,8,1424.182,553.631,2.000,2,001-01-0000002,N,-83.492,-22.100,-40.000,14
1.000,8,1424.182,553.631,2.000,3,001-01-0000003,N,-81.162,-26.705,-37.194,9
1.000,8,1424.182,553.631,2.000,4,001-01-0000004,N,-82.681,-26.589,-38.620,7
1.000,8,1424.182,553.631,2.000,5,001-01-0000005,N,-68.928,-11.814,-28.710,10
1.000,8,1424.182,553.631,2.000,6,001-01-0000006,N,-88.218,-28.384,-40.000,18
1.000,8,1424.182,553.631,2.000,7,001-01-0000007,N,-79.453,-23.316,-31.659,12
1.000,8,1424.182,553.631,2.000,8,001-01-0000008,N,-60.986,-4.746,-21.360,5
1.000,8,1424.182,553.631,2.000,9,001-01-0000009,S,-43.848,13.776,9.586,1
1.000,8,1424.182,553.631,2.000,10,001-01-0000010,N,-69.559,-11.238,-24.182,7
1.000,8,1424.182,553.631,2.000,11,001-01-0000011,N,-82.114,-23.825,-37.409,19
1.000,8,1424.182,553.631,2.000,12,001-01-0000012,N,-77.994,-21.885,-36.757,13
1.000,8,1424.182,553.631,2.000,13,001-01-0000013,N,-71.906,-13.164,-27.892,8
1.000,8,1424.182,553.631,2.000,14,001-01-0000014,N,-54.917,3.981,-16.452,6
1.000,8,1424.182,553.631,2.000,15,001-01-0000015,N,-67.001,-10.746,-17.984,9
1.000,8,1424.182,553.631,2.000,16,001-01-0000016,N,-91.548,-33.185,-40.000,22
1.000,8,1424.182,553.631,2.000,17,001-01-0000017,N,-93.948,-35.275,-40.000,17
1.000,8,1424.182,553.631,2.000,18,001-01-0000018,N,-77.590,-16.336,-39.049,13
1.000,8,1424.182,553.631,2.000,19,001-01-0000019,N,-79.530,-24.694,-40.000,12
1.000,8,1424.182,553.631,2.000,20,001-01-0000020,N,-70.103,-14.340,-26.651,14
1.000,8,1424.182,553.631,2.000,21,001-01-0000021,N,-85.762,-28.020,-40.000,26
1.000,8,1424.182,553.631,2.000,22,001-01-0000022,N,-84.810,-31.287,-40.000,22
1.000,8,1424.182,553.631,2.000,23,001-01-0000023,N,-88.698,-29.609,-40.000,19
1.000,8,1424.182,553.631,2.000,24,001-01-0000024,N,-95.157,-34.488,-40.000,19
1.000,8,1424.182,553.631,2.000,25,001-01-0000025,N,-90.913,-32.000,-40.000,20
1.000,9,562.911,645.512,2.000,26,001-01-0000001,N,-57.005,2.613,-17.274,5
1.000,9,562.911,645.512,2.000,2,001-01-0000002,N,-71.937,-14.485,-29.239,8
1.000,9,562.911,645.512,2.000,3,001-01-0000003,N,-72.771,-13.494,-24.061,10
1.000,9,562.911,645.512,2.000,4,001-01-0000004,N,-91.486,-31.086,-40.000,15
1.000,9,562.911,645.512,2.000,5,001-01-0000005,N,-76.387,-19.657,-32.924,20
1.000,9,562.911,645.512,2.000,6,001-01-0000006,N,-73.568,-16.236,-30.963,7
1.000,9,562.911,645.512,2.000,7,001-01-0000007,N,-51.498,5.687,-7.921,2
1.000,9,562.911,645.512,2.000,8,001-01-0000008,N,-77.043,-19.999,-30.174,6
1.000,9,562.911,645.512,2.000,9,001-01-0000009,N,-87.474,-31.593,-40.000,12
1.000,9,562.911,645.512,2.000,10,001-01-0000010,N,-105.679,-40.000,-40.000,18
1.000,9,562.911,645.512,2.000,11,001-01-0000011,N,-75.012,-18.615,-29.016,9
1.000,9,562.911,645.512,2.000,12,001-01-0000012,S,-45.406,13.535,8.172,5
1.000,9,562.911,645.512,2.000,13,001-01-0000013,N,-80.875,-23.305,-39.706,7
